ID,Department Name,Parent Department/External ID
100000-101078-103632-100374-100397-104857-102011,Call Centre Regina,100000-101078-103632-100374-100397-104857
100000-101078-103632-100374-100397-104857-102010,CC/EI/Regina-F,100000-101078-103632-100374-100397-104857
100000-101078-103632-100374-100397-104857-104501,ESDC / CC / Team Leader-A,100000-101078-103632-100374-100397-104857
100000-101078-103632-100374-100397-104857-104432,Team Leader Call Center,100000-101078-103632-100374-100397-104857
100000-101078-103632-100374-100397-104857-104671,CC/EI/Regina-G,100000-101078-103632-100374-100397-104857
100000-101078-103632-100374-100397-104857-102007,CC/EI/Regina-B,100000-101078-103632-100374-100397-104857
100000-101078-103632-100374-100397-104857-105094,CC/EI/Regina-C,100000-101078-103632-100374-100397-104857
100000-101078-103632-100374-101340,BDSB/Business Expertise/WT,100000-101078-103632-100374
100000-101078-103632-100374-101340-101414,BDSB/BE/Program Excellence/Pen,100000-101078-103632-100374-101340
100000-101078-103632-100374-101340-101414-101328,BDS BE PE PENSIONS CC & SP,100000-101078-103632-100374-101340-101414
100000-101078-103632-100374-101340-101414-105430,PPSB/BE/PE/CPP/CPPD,100000-101078-103632-100374-101340-101414
100000-101078-103632-100374-101340-101414-101904,BDSB BE PE OAS IO,100000-101078-103632-100374-101340-101414
100000-101078-103632-100374-101340-101414-104436,5745 BDSB/BE/PE/CPP,100000-101078-103632-100374-101340-101414
100000-101078-103632-100374-101340-101414-100395,BDSB/BE/PE/CPP/CPPD,100000-101078-103632-100374-101340-101414
100000-101078-103632-100374-101340-100393,BDSB/BE/Program Excellence/EI,100000-101078-103632-100374-101340
100000-101078-103632-100374-101340-100393-100483,BDSB BE PE-EI-1,100000-101078-103632-100374-101340-100393
100000-101078-103632-100374-101340-100393-102029,"BDSB/BE/PE/EICC,ECC",100000-101078-103632-100374-101340-100393
100000-101078-103632-100374-101340-100393-105198,BE/PE ECC/EICC,100000-101078-103632-100374-101340-100393
100000-101078-103632-100374-101340-100393-102026,BDSB BE PE-EI-3,100000-101078-103632-100374-101340-100393
